
Search
Showing: AllOnly ChangedNewMove IntoMove FromRename FromMove and RenamedChange ToRetire
Antiques | ID: 20081
Maritime Wheels | ID: 37973

Model Ships | ID: 37970

Other Maritime Antiques | ID: 66638

Mercantile, Trades & Factories | ID: 163091

Barber Chairs | ID: 163092

Binding, Embossing & Printing | ID: 163093

Cash Register, Adding Machines | ID: 163094

Display Cases | ID: 163095

Industrial Molds | ID: 163096

Safes & Still Banks | ID: 163097

Scales | ID: 163098

Typewriters | ID: 163099

Other Mercantile Antiques | ID: 163100

Musical Instruments (Pre-1930) | ID: 181726

Brass | ID: 156320

Keyboard | ID: 37975

Percussion | ID: 37976

String | ID: 181727

Wind | ID: 37977

Reproductions | ID: 156321

Price Guides & Publications | ID: 171176

Other Antique Instruments | ID: 156322

Primitives | ID: 1217

Restoration & Care | ID: 261755

Cleaners & Polish | ID: 163102

Storage & Display | ID: 163104

Other Antique Restoration | ID: 163105

Rugs & Carpets | ID: 37978

Science & Medicine (Pre-1930) | ID: 20094

Apothecary & Pharmaceutical | ID: 163022

Bottles & Jars | ID: 163023

Mortar & Pestles | ID: 163024

Scales | ID: 163025

Other Antique Apothecary | ID: 163026

Dentistry | ID: 163027

Engineering | ID: 163028

Medicine | ID: 163029

Doctor Bags | ID: 163030

Quack Medicine | ID: 4069

Stethoscopes | ID: 163031

Surgical Sets | ID: 163032

Surgical Tools | ID: 163033

Other Medical Antiques | ID: 1210

Mining | ID: 170063

Optical | ID: 163034

Scientific Instruments | ID: 163035

Barometers | ID: 163036

Microscopes & Lab Equipment | ID: 163037

Other Antique Science Equip | ID: 361

Price Guides & Publications | ID: 171167

Other Antique Science, Medical | ID: 20095

Sewing (Pre-1930) | ID: 156323

Baskets & Boxes | ID: 156324

Buttons | ID: 156325

Furniture | ID: 156326

Needles & Cases | ID: 156328

Patterns | ID: 156329

Pin Cushions | ID: 167949

Sewing Machines | ID: 156327

Sewing Machine Parts | ID: 163106

Spools & Thread | ID: 156332

Thimbles | ID: 156330

Tools, Scissors & Measures | ID: 167950

Price Guides & Publications | ID: 171177

Other Antique Sewing | ID: 156331

Silver | ID: 20096

Sterling Silver (.925) | ID: 2213

Ash Trays | ID: 105908

Bottles, Decanters & Flasks | ID: 163056

Bowls | ID: 37991

Boxes | ID: 37992

Brushes & Grooming Sets | ID: 105911

Candlesticks & Candelabra | ID: 20103

Card Cases | ID: 105899

Cigarette & Vesta Cases | ID: 105900

Creamers & Sugar Bowls | ID: 163055

Cups & Goblets | ID: 37993

Dishes & Coasters | ID: 63620

Flatware & Silverware | ID: 20104

Miniatures | ID: 63623

Mustard Pots | ID: 113310

Napkin Rings & Clips | ID: 39440

Pitchers & Jugs | ID: 37995

Plates & Chargers | ID: 163272

Platters & Trays | ID: 39441

Salt & Pepper Shakers | ID: 39442

Salt Cellars | ID: 163273

Sauce Boats | ID: 105914

Souvenir Spoons | ID: 63621

Sugar Bowls & Tongs | ID: 63622

Tea/Coffee Pots & Sets | ID: 37998

Thimbles | ID: 107440

Vases & Urns | ID: 39443

Vinaigrettes | ID: 107441

Mixed Lots | ID: 163271

Other Antique Sterling Silver | ID: 1215

Coin Silver (.900) | ID: 20097

Silver Alloys (.800-.899) | ID: 169269

Silverplate | ID: 2212

Ash Trays | ID: 105886

Baskets | ID: 163048

Bottles, Decanters & Flasks | ID: 163049

Bowls | ID: 37985

Butter Dishes | ID: 163050

Candlesticks & Candelabra | ID: 20098

Creamers & Sugar Bowls | ID: 163052

Cups & Goblets | ID: 37986

Dishes & Coasters | ID: 105889

Flatware & Silverware | ID: 20099

Napkin Rings & Clips | ID: 105894

Pitchers & Jugs | ID: 39437

Plates & Chargers | ID: 163053

Platters & Trays | ID: 39438

Sauce Boats | ID: 105896

Souvenir Spoons | ID: 163051

Tea/Coffee Pots & Sets | ID: 37988

Vases & Urns | ID: 39439

Mixed Lots | ID: 163054

Other Antique Silverplate | ID: 1216

Non-U.S. Silver | ID: 151726

Asia | ID: 151732

Canada | ID: 151727

France | ID: 151729

Germany | ID: 151730

Mexico | ID: 151733

Middle East | ID: 156333

Russia | ID: 151736

Scandinavia | ID: 156334

Spain | ID: 151735

United Kingdom | ID: 151728

Unspecified, Unknown Origin | ID: 156335

Other Antique Non-U.S. Silver | ID: 151737

Unspecified, Unknown Type of Silver | ID: 169270

Price Guides & Publications | ID: 171168

Tapestries | ID: 261588

Other Antiques | ID: 12

Art | ID: 550

Art Drawings | ID: 552

Art NFTs | ID: 262051

Art Photographs | ID: 2211

Art Posters | ID: 28009

Art Prints | ID: 360

Art Sculptures | ID: 553

Mixed Media Art & Collage Art | ID: 554

Paintings | ID: 551

Textile Art & Fiber Art | ID: 156196

Other Art | ID: 20158

Baby | ID: 2984

Baby Gear | ID: 100223

Activity Centers | ID: 20413

Baby Jumping Exercisers | ID: 117032

Baby Swings | ID: 2990

Bouncers & Vibrating Chairs | ID: 117034

Playpens & Play Yards | ID: 2988

Play Shades & Tents | ID: 117033

Walkers | ID: 134282

Other Baby Gear | ID: 100224

Baby Safety & Health | ID: 20433

Baby Monitors | ID: 20435

Baby Proofing | ID: 184339

Baby Locks & Latches | ID: 117027

Corner & Edge Cushions | ID: 162184

Outlet Covers | ID: 134764

Stove Guards | ID: 106803

Other Baby Proofing | ID: 20434

Baby Thermometers | ID: 117026

Bed Rails | ID: 162183

Car Window Signs & Decals | ID: 134762

Hearing Protection Earmuffs | ID: 184343

Safety Gates | ID: 117029

Shopping Cart Covers | ID: 73470

Toddler Safety Harnesses | ID: 134761

Other Baby Safety & Health | ID: 20436

Bathing & Grooming | ID: 20394

Baby Scales | ID: 117016

Bath Tubs | ID: 113814

Bath Tub Seats & Rings | ID: 162024

Bathing Accessories | ID: 100221

Gift Sets | ID: 134756

Health & Grooming | ID: 45452

Shampoos & Soaps | ID: 82563

Skin Care | ID: 20398

Towels & Washcloths | ID: 45453

Other Baby Bathing & Grooming | ID: 45454

Car Safety Seats | ID: 66692

Booster to 80lbs | ID: 66694

Car Seat Accessories | ID: 66693

Convertible Car Seat 5-40lbs | ID: 66695

Infant Car Seat 5-20 lbs | ID: 66696

Carriers, Slings & Backpacks | ID: 100982

Diapering | ID: 45455

Baby Wipe Warmers | ID: 117017

Baby Wipes | ID: 45456

Changing Pads & Covers | ID: 66674

Cloth Diapers | ID: 146531

Diaper Bags | ID: 15558

Diaper Cakes | ID: 117018

Diaper Coupons | ID: 162036

Diaper Covers | ID: 26267

Diaper Disposal | ID: 20397

Diaper Stackers | ID: 134758

Disposable Diapers | ID: 15559

Swim Diapers | ID: 100222

Other Diapering | ID: 20399

Feeding | ID: 20400

Baby Bibs & Burp Cloths | ID: 20408

Baby Food | ID: 162034

Booster Chairs | ID: 134276

Bottle Feeding | ID: 184344

Baby Bottles | ID: 20402

Bottle Bags | ID: 106777

Bottle Brushes | ID: 184345

Bottle Drying Racks | ID: 184346

Bottle Nipples | ID: 162035

Bottle Sterilizers | ID: 106789

Formula | ID: 20403

Formula Coupons | ID: 82228

Formula Dispensers | ID: 184347

Sterilizing/Cleaning Supplies | ID: 184348

Other Bottle Feeding | ID: 184349

Bottle & Food Warmers | ID: 20404

Breastfeeding/Nursing | ID: 23590

Electric Breast Pumps | ID: 23591

Manual Breast Pumps | ID: 157253

Breast Pump Parts | ID: 184350

Breast Milk Storage | ID: 168751

Feeding Pillows & Covers | ID: 160065

Nipple Shields/Protectors | ID: 168752

Nursing Covers/Blankets | ID: 184340

Nursing Pads | ID: 106766

Other Breastfeeding Supplies | ID: 19732

Cups, Dishes & Utensils | ID: 157325

Bowls & Plates | ID: 184341

Sippy Cups & Mugs | ID: 117387

Utensils | ID: 117385

Feeding Sets | ID: 117386

Other Baby Dishes | ID: 106776

Food Grinders & Blenders | ID: 32866

High Chairs | ID: 2986

Pacifiers & Soothers | ID: 32872

Pacifier Clips & Cases | ID: 162032

Teethers | ID: 121627

Other Baby Feeding | ID: 20405

Keepsakes & Baby Announcements | ID: 117388

Baby Books & Albums | ID: 117389

Baby Boxes | ID: 117390

Baby Picture Frames | ID: 117392

Birth Announcements & Cards | ID: 117391

Handprint Kits | ID: 162037

Tooth Fairy Pillows | ID: 162038

Other Baby Keepsakes | ID: 146532

Nursery Bedding | ID: 20416

Nursery Bedding Sets | ID: 162040

Bed Pillows | ID: 180907

Blankets & Throws | ID: 3081

Mesh Liners | ID: 20417

Canopies & Netting | ID: 180905

Cribskirts & Dust Ruffles | ID: 52345

Decorative Nursery Pillows | ID: 180906

Duvet Covers & Sets | ID: 134278

Duvet Inserts | ID: 18646

Mattress Pads & Covers | ID: 162041

Pillowcases & Shams | ID: 124327

Quilts & Coverlets | ID: 180908

Sheets & Sets | ID: 180909

Sleeping Bags & Sleepsacks | ID: 100989

Other Nursery Bedding | ID: 20421

Nursery Décor | ID: 66697

Boxes & Storage | ID: 117398

Lamps & Shades | ID: 20428

Mats & Rugs | ID: 37632

Mobiles | ID: 20429

Night Lights | ID: 121153

Picture Frames | ID: 33235

Wall Décor | ID: 37633

Art & Prints | ID: 37634

Wall Decals & Vinyl Art | ID: 180505

Wall Hangings | ID: 37635

Wallpaper Borders | ID: 37636

Other Nursery Wall Décor | ID: 20430

Wall Letters | ID: 146534

Window Treatments | ID: 20431

Other Nursery Décor | ID: 98473

Nursery Furniture | ID: 20422

Bedside Sleepers | ID: 121152

